"mfcc1_mean","mfcc1_sd","mfcc2_mean","mfcc2_sd","mfcc3_mean","mfcc3_sd","mfcc4_mean","mfcc4_sd","mfcc5_mean","mfcc5_sd","mfcc6_mean","mfcc6_sd","mfcc7_mean","mfcc7_sd","mfcc8_mean","mfcc8_sd","mfcc9_mean","mfcc9_sd","mfcc10_mean","mfcc10_sd","mfcc11_mean","mfcc11_sd","mfcc12_mean","mfcc12_sd","mfcc13_mean","mfcc13_sd","tempo","centroid_mean","centroid_sd","rms_mean","rms_sd","harmonic_rms_mean","percussive_rms_mean","perc_harm_ratio","file","day_night","cluster"
-133.1839,66.136345,88.31402,18.236137,2.0440238,17.626379,34.658684,12.545724,5.542621,8.849845,8.182901,8.917782,0.68502146,7.5734916,2.880692,7.804463,-1.3254997,8.28342,3.3476017,6.6677794,-3.3307724,7.0417027,3.5336983,6.905967,-2.247899,6.9369745,117.45383523,2273.85471370051,437.683090442743,0.086856574,0.0280819,0.059367426,0.03788927,0.638205709131596,"Chainlink Charge (Day) (Super Mario 3D World) - Mario Kart World (OST).wav","Day","1"
-171.57306,47.083,107.2823,21.981388,12.02007,15.052872,39.720512,12.155952,2.8531954,9.687477,9.068995,9.015448,-3.9385161,8.58842,6.742954,9.020245,-1.5795424,8.746355,0.4068872,9.396307,-6.5385637,9.2991085,0.16994847,11.028639,-6.169,10.772077,89.10290948,1796.68190000288,482.816184141578,0.08714977,0.021940613,0.071958296,0.023208149,0.322517729706195,"Underwater BGM (New Super Mario Bros. Wii) - Mario Kart World (OST).wav","","2"
-179.7545,74.23497,109.030136,31.788408,3.5185785,18.154408,26.20525,12.044025,7.3319006,9.429512,7.6650915,9.648793,-2.7568798,7.9630017,6.4235315,8.30941,-2.5024917,7.813404,3.168865,7.4515996,-3.8276525,7.2199736,4.1723876,7.260379,-5.7673545,7.539097,117.45383523,1989.31441368021,687.028050856238,0.06525347,0.02015999,0.04929506,0.023339815,0.473462083550515,"File Select (Super Mario 64) - Mario Kart World (OST).wav","","2"
-29.645464,66.04672,65.63966,16.282972,4.05348,12.29233,38.959457,11.861131,2.2425976,7.90035,13.653161,8.739281,0.5504894,8.7781,6.4751024,8.418942,-0.2211931,7.296429,4.670041,7.165944,-4.29907,7.9115896,1.7374395,7.386251,-4.5596423,7.03084,135.99917763,2819.06941377966,485.587699427489,0.20089631,0.07138662,0.13882768,0.08147035,0.586840896537661,"Tour Singapore Speedway (Mario Kart Tour) - Mario Kart World (OST).wav","","3"
-123.4833,77.96791,91.95728,22.913256,4.8305497,13.8411,25.636547,10.117537,8.884939,9.5539665,5.8529377,8.239782,-3.9530742,8.0202875,5.0233145,8.193678,-1.0883272,8.700475,0.6125022,9.591358,2.303393,8.21232,3.0715525,9.538269,3.6087701,9.524174,117.45383523,2219.51751254585,540.52200135776,0.11140828,0.03836009,0.0941891,0.030149953,0.32009684085951,"Tour Merry Mountain (Mario Kart Tour) - Mario Kart World (OST).wav","","2"
-212.08754,97.57264,113.85482,37.944492,-14.275794,22.31347,23.853392,16.461336,1.5762388,11.667555,8.876636,11.735128,-3.3450668,9.73139,2.5150557,9.901779,-0.46667245,8.765884,4.007627,8.357781,0.06276738,8.356192,3.5571947,9.15516,-1.7146872,8.611136,112.34714674,1901.92957263077,635.308857916707,0.049308576,0.020113418,0.035055976,0.019642472,0.560301380953729,"Tour Los Angeles Laps (Mario Kart Tour) - Mario Kart World (OST).wav","","2"
-199.4336,127.37198,96.86135,35.150898,-8.2538595,21.491264,34.794003,15.746469,14.85981,11.185179,5.8140063,9.689694,4.0698323,8.626195,5.298504,8.57841,-0.8255762,8.75227,8.48149,8.227693,0.12690589,8.046321,4.941848,8.617802,-0.9538357,8.241228,99.38401442,1778.99241160044,736.955852618019,0.07789723,0.038708854,0.0542308,0.03352573,0.618193206307467,"Peach's Castle (Super Mario 64) - Mario Kart World (OST).wav","","2"
-221.70044,72.54889,107.84211,19.151522,7.556242,14.102737,33.55045,9.50633,5.9549775,7.90291,14.480727,6.9133263,1.1188194,6.065594,2.0388749,6.633311,-4.5992045,6.6409464,2.2720737,6.3163977,-4.183967,7.420363,3.542071,7.3717737,-3.5348058,7.1983647,135.99917763,1797.36410485768,465.78875657752,0.047945965,0.017801428,0.03624007,0.016387777,0.452187998987296,"Underground BGM (Super Mario Bros.) (Latin Guitar Ver.) - Mario Kart World (OST).wav","","1"
-87.34538,57.510216,96.36647,12.80077,0.23759742,11.70927,29.004225,9.490667,5.2842875,6.7601643,11.451684,7.2301893,3.0974529,7.5717626,6.8281565,6.159655,-1.0142969,6.7970386,2.18318,6.3517647,-2.1793656,6.5393357,2.8631053,7.216202,-3.0640125,7.378733,129.19921875,2173.78480381719,327.750631298563,0.12546174,0.029417949,0.08701419,0.053077385,0.609978376297609,"Wii Delfino Pier (Mario Kart Wii) - Mario Kart World (OST).wav","","1"
-67.83265,48.019882,70.18662,19.599974,-14.587302,17.340782,32.722645,10.252588,5.0057683,8.920268,14.062889,11.044416,0.19719996,8.58532,9.362547,7.083948,2.2537417,7.666003,4.9677796,8.357741,-1.0514324,7.13625,3.9067085,6.9520993,-0.82578707,6.718665,73.828125,2705.06835532284,539.055361869624,0.12923239,0.040915523,0.074724585,0.07307127,0.977861482906939,"Sprawling Savanna (Super Mario 3D World) - Mario Kart World (OST).wav","","3"
